# 视频转录文本

## 统计信息
- **原文字符数:** 3564
- **译文字符数:** 1030
- **段落数:** 40

## 分段转录

**[00:00]** around you, but I think the nature aspect of this metaphor opens it up to not just the
    *翻译:* 在你周围，但我认为这个隐喻的自然方面使其不仅仅局限于

**[00:06]** people around you, but the place around you, which gets us one step closer to what we're
    *翻译:* 你周围的人，但你周围的环境，让我们离我们的目标更近一步。

**[00:10]** going to be talking about in a second, which is Robin Wildkimmer's idea of the grammar
    *翻译:* 稍后将要讨论的是罗宾·维尔德基默关于语法的观点。

**[00:14]** of animacy. But before we get into that, I want to talk about this essay called The Balkanization
    *翻译:* 关于有生命性。但在我们深入讨论之前，我想谈谈这篇名为《巴尔干化》的文章。

**[00:18]** and Babelification of the Internet by Ruyi and Ruby Justice the Law. And they say,
    *翻译:* 由如意和红宝石正义法律导致的互联网巴别塔化。他们说，

**[00:24]** the pace at which we're creating new words, then re-contextualizing their meetings in
    *翻译:* 我们创造新词汇的速度，然后重新定义它们在不同语境中的相遇。

**[00:27]** hyperbolic meme and joke format is moving faster than ever before in our age of relentless
    *翻译:* 在我们这个无情的时代，双曲式的表情包和笑话格式传播得比以往任何时候都要快。

**[00:32]** online discourse. As we're fed more content, we are pushed deeper into algorithmic niches.
    *翻译:* 在线讨论。随着我们被推送更多的内容，我们被推向更深层次的算法化细分市场。

**[00:37]** In return, we are encouraged to engage with more extreme and polarizing identifiers because
    *翻译:* 作为回报，我们被鼓励去接触更多极端和两极分化的身份标识，因为

**[00:42]** it is more labelable, more indexable by the machine, the creation of the quote unquote
    *翻译:* 它更易于被机器标记，更易于被机器索引，即所谓的“引用”和“非引用”的创造。

**[00:47]** island. Babelification is the process by which, after splintering, insular digital groups
    *翻译:* 岛屿。巴别化是分裂后，孤立的数字群体形成的过程。

**[00:52]** develop unique languages, which makes reintegration and shared digital spaces difficult, if not
    *翻译:* 发展独特的语言，这使得重新整合和共享数字空间变得困难，如果不是不可能的话。

**[00:57]** impossible. When someone believes their insular language and online echo chambers is common
    *翻译:* 不可能。当某人认为他们孤立的语言和网络回音室是常见的

**[01:01]** place reality, clashes ensue when that same individual is placed in a context where other
    *翻译:* 当同一个个体被置于其他个体的背景下时，现实发生冲突。

**[01:06]** people aren't privy to their language because they are fundamentally misunderstanding one
    *翻译:* 人们不了解他们的语言，因为他们从根本上误解了其中一种。

**[01:10]** another. And this is really interesting to think about because I feel like sometimes
    *翻译:* 另一个。这真的很有趣，因为我觉得有时候

**[01:14]** this happens even in my own comment section. Sometimes people say something and I'm like,
    *翻译:* 这甚至发生在我自己的评论区。有时候人们说些什么，我就会想，

**[01:18]** yeah, that is technically English, but what you just said is so decontextualized for me,
    *翻译:* 是的，从技术上讲那是英语，但你刚才所说的对我来说太脱离上下文了。

**[01:24]** I have no idea what you're talking about. And I think we just got a very clear example
    *翻译:* 我不知道你在说什么。而且我认为我们刚刚得到了一个非常清晰的例子。

**[01:27]** of the real life implications of this with the Charlie Kirk case, with the things that
    *翻译:* 关于查理·柯克案件中这一点在现实生活中的影响，以及那些事情

**[01:31]** were written on the bullet casings. And then everyone in the internet kind of flooding
    *翻译:* 子弹壳上写着字。然后互联网上的每个人都开始大量涌入。

