# 视频转录文本

## 统计信息
- **原文字符数:** 3418
- **译文字符数:** 1072
- **段落数:** 90

## 分段转录

**[00:00]** delivered solid results.
    *翻译:* 取得了坚实的成果。

**[00:01]** Today I just want to example,
    *翻译:* 今天我只想举个例子，

**[00:02]** an ongoing cutting edge work.
    *翻译:* 一项正在进行的前沿工作。

**[00:04]** Researchers have shown that certain languages may allow
    *翻译:* 研究人员已经表明，某些语言可能允许

**[00:07]** speakers to unlock senses that are the common possession
    *翻译:* 扬声器解锁感官，这些感官是共同拥有的。

**[00:10]** of all humans, but remain unutilized by most people.
    *翻译:* 在所有人中，但大多数人并未利用。

**[00:13]** And the example he uses, this is really interesting,
    *翻译:* 他使用的例子，这真的很有趣，

**[00:16]** is that in the Goringee language,
    *翻译:* 那是在戈林吉语中，

**[00:17]** which is spoken in northern Australia,
    *翻译:* 在澳大利亚北部使用的语言，

**[00:20]** they use the cardinal directions,
    *翻译:* 他们使用基本方向。

**[00:21]** not just on a geographical scale,
    *翻译:* 不仅仅是在地理尺度上，

**[00:23]** but also to locate things on their body.
    *翻译:* 而且还要找到他们身体上的部位。

**[00:25]** So say a fly landed on your right leg,
    *翻译:* 那么假设一只苍蝇落在了你的右腿上，

**[00:27]** and that was oriented towards the west.
    *翻译:* 并且它朝向西方。

**[00:30]** The way that they would talk about that
    *翻译:* 他们谈论那件事的方式

**[00:31]** is they would say,
    *翻译:* 他们会说，

**[00:32]** this is the outer upper west of my leg,
    *翻译:* 这是我腿部外侧的上部。

**[00:35]** the fly landed here on my leg,
    *翻译:* 这只苍蝇落在了我的腿上，

**[00:37]** which just makes my brain hurt
    *翻译:* 这简直让我头疼

**[00:39]** because I'm so bad at directions,
    *翻译:* 因为我在方向感方面真的很差，

**[00:41]** I can't even conceptualize the cardinal directions
    *翻译:* 我甚至无法理解基本方向

**[00:44]** when I'm walking down the street,
    *翻译:* 当我走在大街上，

**[00:45]** let alone think about where that's placed on my body
    *翻译:* 更不用说去想它在我身体上的哪个位置了

**[00:48]** at any given moment.
    *翻译:* 在任何给定的时刻。

**[00:49]** But dresser says,
    *翻译:* 但是梳妆台说，

**[00:50]** we are all innocence, compasses.
    *翻译:* 我们都是无辜的，指南针。

**[00:53]** English speakers are for the most part,
    *翻译:* 大多数说英语的人，

**[00:54]** not consciously aware of this,
    *翻译:* 并没有意识到这一点，

**[00:56]** even though their brain activity changes
    *翻译:* 尽管他们的大脑活动发生了变化

**[00:58]** when surrounding magnetic fields
    *翻译:* 当周围有磁场时

**[00:59]** are manipulated under experimental conditions.
    *翻译:* 在实验条件下被操纵。

**[01:02]** Recent experiments by the Australian linguist,
    *翻译:* 澳大利亚语言学家最近进行的实验，

**[01:04]** Felicity Meekens and her collaborators
    *翻译:* 费莉西蒂·米肯斯和她的合作者

**[01:06]** have shown that some Goringee speakers
    *翻译:* 已经表明一些戈林吉语的使用者

**[01:08]** can reliably report on shifts
    *翻译:* 可以可靠地报告变化

**[01:10]** in ambient magnetic fields.
    *翻译:* 在环境磁场中。

**[01:12]** Goringee speakers have it of using cardinal directions
    *翻译:* Goringee语使用者有使用基本方向的习惯

**[01:14]** would seem to have opened up their powers of perception.
    *翻译:* 似乎已经开启了他们的感知能力。

**[01:17]** At least some Goringee speakers
    *翻译:* 至少一些Goringee语言的使用者

**[01:19]** may be able to consciously feel earth's magnetic field.
    *翻译:* 可能能够有意识地感受到地球的磁场。

**[01:23]** So what that means to me
    *翻译:* 那么对我来说意味着什么

**[01:24]** is that language can change the way you experience
    *翻译:* 语言可以改变你的体验方式

**[01:26]** living in your body,
