# 视频转录文本

## 统计信息
- **原文字符数:** 3449
- **译文字符数:** 996
- **段落数:** 80

## 分段转录

**[00:00]** death for the living beings that we share this earth with.
    *翻译:* 我们与地球上共享生命的生物之死。

**[00:02]** And that's a huge responsibility on our part.
    *翻译:* 这是我们肩上的重大责任。

**[00:05]** And I'm not just talking about the environment.
    *翻译:* 我不仅仅是在谈论环境问题。

**[00:06]** Like if you have been paying attention,
    *翻译:* 如果你一直有在关注，

**[00:08]** then you just saw what happened with Jimmy Kimmel
    *翻译:* 那么你刚刚看到了吉米·坎摩尔身上发生的事情。

**[00:10]** and Disney and all of the boycotts against Disney
    *翻译:* 以及迪士尼和所有针对迪士尼的抵制活动

**[00:13]** and how Jimmy Kimmel came back
    *翻译:* 吉米·坎摩尔是如何回归的

**[00:15]** because of the mass boycotts, like Disney lost billions
    *翻译:* 由于大规模抵制，比如迪士尼损失了数十亿

**[00:19]** of dollars.
    *翻译:* 美元。

**[00:19]** And I think for a serious about wanting serious change,
    *翻译:* 我认为对于那些真正想要实现重大改变的人来说，

**[00:22]** we do need to change our thought processes
    *翻译:* 我们确实需要改变我们的思维过程。

**[00:24]** to stop seeing the quote unquote things around us
    *翻译:* 停止看到我们周围所谓的事物

**[00:27]** as just things.
    *翻译:* 正如公正之事。

**[00:29]** Robin talks about how, in Potawatomi,
    *翻译:* 罗宾讲述了在波塔瓦托米语中，

**[00:31]** if, for example, you saw a plant,
    *翻译:* 例如，如果你看到了一株植物，

**[00:34]** you wouldn't ask, what is it?
    *翻译:* 你不会问，这是什么？

**[00:36]** You would say, who is that?
    *翻译:* 你会问，那是谁？

**[00:37]** And I was recently reading another book
    *翻译:* 我最近在读另一本书

**[00:39]** that Robin wrote called the Service Berry.
    *翻译:* 罗宾写的那个叫做服务浆果。

**[00:40]** She says, how we think ripples out to how we behave.
    *翻译:* 她说，我们的思维如何影响我们的行为。

**[00:43]** If we view these berries or that spring
    *翻译:* 如果我们看待这些浆果或那个春天

**[00:45]** as an object, as property,
    *翻译:* 作为一个物体，作为一种财产，

**[00:48]** it can be exploited as a commodity in a market economy.
    *翻译:* 它可以在市场经济中作为一种商品被利用。

**[00:51]** When something moves from the status of gift
    *翻译:* 当某物从礼物的状态转变

**[00:53]** to the status of commodity,
    *翻译:* 转变为商品的地位，

**[00:54]** we can become detached from mutual responsibility.
    *翻译:* 我们可能会变得不再相互负责。

**[00:57]** And that's kind of getting into the more broad idea
    *翻译:* 这就是开始涉及到更广泛的概念。

**[00:59]** of a gift economy that she lays out
    *翻译:* 她所描述的是一种礼物经济

**[01:00]** in the Service Berry, highly recommend going to check it out.
